ID_ANONIMIZADO;LATITUD;LONGITUD;DISTRITO;REGION
31134;-29,95360127;-71,27117498;Coquimbo;IV
31374;-29,7512027;-71,0263163;Coquimbo;IV
31378;-29,7512027;-71,0263163;Coquimbo;IV
31381;-29,92113001;-71,24743998;Coquimbo;IV
31471;-29,9574462;-71,3479753;Coquimbo;IV
31476;-29,91327879;-71,25529448;Coquimbo;IV
31480;-29,9080472;-71,2442438;Coquimbo;IV
31516;-29,9837559;-71,3401117;Coquimbo;IV
31521;-29,92001999;-71,25238002;Coquimbo;IV
31558;-29,92557634;-71,20542157;Coquimbo;IV
31572;-29,8866684;-71,2354813;Coquimbo;IV
31946;-29,9541;-71,33815;Coquimbo;IV
31967;-29,9598414;-71,2947996;Coquimbo;IV
32085;-29,8917319;-71,2134782;Coquimbo;IV
32089;-30,2631988;-71,4919855;Coquimbo;IV
32141;-29,87318694;-71,25202567;Coquimbo;IV
32176;-29,98731942;-71,33682458;Coquimbo;IV
32383;-29,6585972;-71,3042531;Coquimbo;IV
32446;-29,9558806;-71,2609878;Coquimbo;IV
32489;-29,9280228;-71,2473125;Coquimbo;IV
32625;-29,92312;-71,23768998;Coquimbo;IV
32734;-29,91599001;-71,21454998;Coquimbo;IV
32973;-29,9246192;-71,1998896;Coquimbo;IV
33195;-29,9248354;-71,2445546;Coquimbo;IV
33220;-29,93998996;-71,34025991;Coquimbo;IV
33226;-29,9541;-71,33815;Coquimbo;IV
33432;-29,94734956;-71,29211237;Coquimbo;IV
33435;-29,92779999;-71,26075999;Coquimbo;IV
33600;-29,95921619;-71,26447767;Coquimbo;IV
33602;-29,90239;-71,25124;Coquimbo;IV
33754;-30,0346179;-71,1092636;Coquimbo;IV
33755;-30,0346179;-71,1092636;Coquimbo;IV
33826;-29,95626887;-71,35006853;Coquimbo;IV
33852;-29,9343106;-71,248839;Coquimbo;IV
33858;-29,916475;-71,2475576;Coquimbo;IV
33874;-29,9541;-71,33815;Coquimbo;IV
33958;-36,9369998;-73,0205331;Coquimbo;IV
33982;-29,958511;-71,2627047;Coquimbo;IV
33994;-29,9541;-71,33815;Coquimbo;IV
34292;-29,9242037;-71,2539447;Coquimbo;IV
34302;-29,9123577;-71,2188003;Coquimbo;IV
34313;-29,9413531;-71,2633918;Coquimbo;IV
34315;-29,91619001;-71,25671003;Coquimbo;IV
34360;33,5232776;-117,1173729;Coquimbo;IV
34369;-29,96363725;-71,25547207;Coquimbo;IV
34479;-29,96255;-71,34359;Coquimbo;IV
34593;-29,9814745;-71,3406798;Coquimbo;IV
34638;-29,89878;-71,24799;Coquimbo;IV
34690;-29,93278054;-71,26275081;Coquimbo;IV
34719;-29,88577257;-71,22561701;Coquimbo;IV
34763;-29,9664373;-71,3402461;Coquimbo;IV
34771;-29,9201255;-71,2564082;Coquimbo;IV
34816;-29,95830951;-71,26961865;Coquimbo;IV
34842;-29,8786406;-71,2501949;Coquimbo;IV
34851;-29,9593783;-71,344804;Coquimbo;IV
34857;-29,8786406;-71,2501949;Coquimbo;IV
34858;-29,9266932;-71,2565112;Coquimbo;IV
34862;-29,90516998;-71,25521;Coquimbo;IV
34869;-29,8786406;-71,2501949;Coquimbo;IV
35063;-29,96716599;-71,25885728;Coquimbo;IV
35092;-29,96998868;-71,33139946;Coquimbo;IV
35166;-29,9280228;-71,2473125;Coquimbo;IV
35204;-29,9426;-71,26148997;Coquimbo;IV
35208;-29,95633028;-71,26641702;Coquimbo;IV
35212;-29,9837559;-71,3401117;Coquimbo;IV
35235;-29,97119239;-71,33757338;Coquimbo;IV
35254;-29,98706959;-71,33490251;Coquimbo;IV
35271;-29,9216717;-71,2381375;Coquimbo;IV
35306;-29,8869201;-71,2461453;Coquimbo;IV
35326;-29,9787624;-71,33066862;Coquimbo;IV
35342;-29,99615273;-71,33236237;Coquimbo;IV
35372;-29,9371726;-71,2455621;Coquimbo;IV
35388;-29,9119204;-71,2266286;Coquimbo;IV
35486;-29,94427689;-71,25247026;Coquimbo;IV
35514;-29,94187002;-71,25579003;Coquimbo;IV
35517;-29,94187002;-71,25579003;Coquimbo;IV
35610;-29,98889;-71,35;Coquimbo;IV
35787;-29,94299999;-71,25242;Coquimbo;IV
35852;-29,98316068;-71,34769644;Coquimbo;IV
35869;-29,75203655;-71,02787219;Coquimbo;IV
35877;-29,9098881;-71,2552411;Coquimbo;IV
35880;-29,95679611;-71,34204131;Coquimbo;IV
35929;-29,88655;-71,24503001;Coquimbo;IV
35949;-29,95679611;-71,34204131;Coquimbo;IV
35997;-29,9313936;-71,2534394;Coquimbo;IV
36048;-29,95261117;-71,26479252;Coquimbo;IV
36049;31,43497;-91,86326;Coquimbo;IV
36098;-30,2688391;-71,4904326;Coquimbo;IV
36180;-29,8916597;-71,2561586;Coquimbo;IV
36191;-29,96721103;-71,2576174;Coquimbo;IV
36255;12,95197346;122,0892008;Coquimbo;IV
36365;-29,87125999;-71,22678998;Coquimbo;IV
